chemical_name_clean,who_class_valid,molecularweight,xlogp,tpsa,complexity,hbonddonorcount,hbondacceptorcount,rotatablebondcount,heavyatomcount,ld50_rat_oral_mgkg,log_ld50,log_molecularweight,is_carcinogen,is_neurotoxin,is_endocrine_disruptor,is_reproductive_toxin,total_hazard_flags,name_length,word_count,has_number,has_hyphen,special_chars
glyphosate,U,169.07,-4.6,107.0,162.0,4.0,6.0,4.0,10.0,5600.0,8.630700432209832,5.136210117004322,1.0,0.0,0.0,0.0,1.0,10,1,0,0,0
chlorpyrifos,II,350.6,5.3,72.7,303.0,0.0,5.0,6.0,18.0,135.0,4.912654885736052,5.862494165811022,0.0,1.0,1.0,1.0,3.0,12,1,0,0,0
malathion,III,330.4,2.4,128.0,341.0,0.0,8.0,11.0,19.0,2100.0,7.650168700845001,5.803326104992462,1.0,1.0,0.0,0.0,2.0,9,1,0,0,0
parathion,IA,291.26,3.8,106.0,304.0,0.0,6.0,6.0,18.0,2.0,1.0986122886681098,5.677643817046507,0.0,1.0,0.0,0.0,1.0,9,1,0,0,0
dimethoate,II,229.3,0.8,105.0,191.0,1.0,5.0,5.0,12.0,150.0,5.017279836814924,5.439382806826639,0.0,1.0,1.0,1.0,3.0,10,1,0,0,0
diazinon,II,304.35,3.8,85.6,307.0,0.0,6.0,7.0,19.0,300.0,5.707110264748875,5.7214586596691435,0.0,1.0,0.0,0.0,1.0,8,1,0,0,0
acephate,III,183.17,-0.8,80.7,172.0,1.0,4.0,3.0,10.0,945.0,6.852242569051878,5.215859244107515,0.0,0.0,0.0,0.0,0.0,8,1,0,0,0
trichlorfon,II,257.43,0.5,55.8,183.0,1.0,4.0,3.0,12.0,450.0,6.111467339502679,5.554624864240679,0.0,0.0,0.0,0.0,0.0,11,1,0,0,0
methidathion,IB,302.3,2.4,143.0,343.0,0.0,8.0,6.0,16.0,25.0,3.258096538021482,5.714722414694536,0.0,0.0,0.0,0.0,0.0,12,1,0,0,0
profenofos,II,373.63,4.7,60.8,295.0,0.0,4.0,7.0,18.0,358.0,5.883322388488279,5.925938872227775,0.0,1.0,0.0,0.0,1.0,10,1,0,0,0
phorate,IA,260.4,3.6,101.0,156.0,0.0,5.0,8.0,13.0,1.0,0.6931471805599453,5.566051801190121,0.0,0.0,0.0,0.0,0.0,7,1,0,0,0
disulfoton,IA,274.4,4.0,101.0,168.0,0.0,5.0,9.0,14.0,2.0,1.0986122886681098,5.618224586294555,0.0,0.0,0.0,0.0,0.0,10,1,0,0,0
cypermethrin,II,416.3,6.0,59.3,643.0,0.0,4.0,7.0,28.0,250.0,5.5254529391317835,6.033805387597507,0.0,1.0,1.0,0.0,2.0,12,1,0,0,0
deltamethrin,II,505.2,6.2,59.3,643.0,0.0,4.0,7.0,28.0,135.0,4.912654885736052,6.226931848111024,0.0,1.0,0.0,0.0,1.0,12,1,0,0,0
permethrin,II,391.3,6.5,35.5,521.0,0.0,3.0,7.0,26.0,430.0,6.066108090103747,5.972026853215507,0.0,0.0,0.0,0.0,0.0,10,1,0,0,0
lambda-cyhalothrin,II,449.8,6.1,59.3,313.0,0.0,7.0,7.0,31.0,56.0,4.04305126783455,6.1110237821656215,0.0,0.0,0.0,0.0,0.0,18,1,0,1,1
bifenthrin,II,422.9,6.0,26.3,622.0,0.0,5.0,6.0,29.0,54.0,4.007333185232471,6.049497578358592,0.0,0.0,0.0,0.0,0.0,10,1,0,0,0
cyfluthrin,II,434.3,6.2,59.3,313.0,0.0,5.0,7.0,29.0,869.0,6.76849321164863,6.076035448558252,0.0,0.0,0.0,0.0,0.0,10,1,0,0,0
esfenvalerate,II,419.9,6.2,59.3,586.0,0.0,4.0,8.0,30.0,87.0,4.477336814478207,6.042395275776525,0.0,0.0,0.0,0.0,0.0,13,1,0,0,0
alpha-cypermethrin,II,416.3,6.0,59.3,313.0,0.0,4.0,7.0,28.0,79.0,4.382026634673881,6.033805387597507,0.0,0.0,0.0,0.0,0.0,18,1,0,1,1
ddt,II,354.5,6.9,0.0,250.0,0.0,0.0,2.0,19.0,113.0,4.736198448394496,5.873525249243295,1.0,0.0,1.0,1.0,4.0,3,1,0,0,0
endosulfan,IB,406.9,3.8,54.7,470.0,0.0,4.0,0.0,19.0,18.0,2.9444389791664403,6.011022046323513,0.0,1.0,1.0,1.0,4.0,10,1,0,0,0
lindane,II,290.8,3.8,0.0,104.0,0.0,0.0,0.0,12.0,88.0,4.48863636973214,5.676068636088686,1.0,1.0,1.0,0.0,4.0,7,1,0,0,0
aldrin,IA,364.9,4.5,0.0,481.0,0.0,0.0,0.0,18.0,39.0,3.6888794541139363,5.902360072025161,1.0,0.0,0.0,1.0,3.0,6,1,0,0,0
dieldrin,IA,380.9,3.7,12.5,313.0,0.0,1.0,0.0,19.0,46.0,3.8501476017100584,5.94515879423147,1.0,0.0,0.0,1.0,3.0,8,1,0,0,0
