chemical_name,who_class,who_description,ld50_rat_oral_mgkg,who_class_numeric,chemical_name_clean,who_class_valid,is_carcinogen,is_endocrine_disruptor,is_neurotoxin,is_reproductive_toxin,is_pbt,total_hazard_flags,cid,molecularweight,xlogp,tpsa,complexity,hbonddonorcount,hbondacceptorcount,rotatablebondcount,heavyatomcount,charge,name_length,word_count,has_number,has_hyphen,has_parenthesis,special_chars,log_molecularweight,log_ld50,toxicity_weighted
glyphosate,U,Unlikely hazardous,5600.0,4,glyphosate,U,1.0,0.0,0.0,0.0,0.0,1.0,3496.0,169.07,-4.6,107.0,162.0,4.0,6.0,4.0,10.0,0.0,10,1,0,0,0,0,5.136210117004322,8.630700432209832,8.630700432209832
chlorpyrifos,II,Moderately hazardous,135.0,2,chlorpyrifos,II,0.0,1.0,1.0,1.0,0.0,3.0,2730.0,350.6,5.3,72.7,303.0,0.0,5.0,6.0,18.0,0.0,12,1,0,0,0,0,5.862494165811022,4.912654885736052,14.737964657208156
malathion,III,Slightly hazardous,2100.0,3,malathion,III,1.0,0.0,1.0,0.0,0.0,2.0,4004.0,330.4,2.4,128.0,341.0,0.0,8.0,11.0,19.0,0.0,9,1,0,0,0,0,5.803326104992462,7.650168700845001,15.300337401690001
parathion,IA,Extremely hazardous,2.0,0,parathion,IA,0.0,0.0,1.0,0.0,0.0,1.0,991.0,291.26,3.8,106.0,304.0,0.0,6.0,6.0,18.0,0.0,9,1,0,0,0,0,5.677643817046507,1.0986122886681098,1.0986122886681098
dimethoate,II,Moderately hazardous,150.0,2,dimethoate,II,0.0,1.0,1.0,1.0,0.0,3.0,3082.0,229.3,0.8,105.0,191.0,1.0,5.0,5.0,12.0,0.0,10,1,0,0,0,0,5.439382806826639,5.017279836814924,15.051839510444772
diazinon,II,Moderately hazardous,300.0,2,diazinon,II,0.0,0.0,1.0,0.0,0.0,1.0,3017.0,304.35,3.8,85.6,307.0,0.0,6.0,7.0,19.0,0.0,8,1,0,0,0,0,5.7214586596691435,5.707110264748875,5.707110264748875
acephate,III,Slightly hazardous,945.0,3,acephate,III,0.0,0.0,0.0,0.0,0.0,0.0,1982.0,183.17,-0.8,80.7,172.0,1.0,4.0,3.0,10.0,0.0,8,1,0,0,0,0,5.215859244107515,6.852242569051878,11.058772120302688
trichlorfon,II,Moderately hazardous,450.0,2,trichlorfon,II,0.0,0.0,0.0,0.0,0.0,0.0,5853.0,257.43,0.5,55.8,183.0,1.0,4.0,3.0,12.0,0.0,11,1,0,0,0,0,5.554624864240679,6.111467339502679,11.058772120302688
methidathion,IB,Highly hazardous,25.0,1,methidathion,IB,0.0,0.0,0.0,0.0,0.0,0.0,13709.0,302.3,2.4,143.0,343.0,0.0,8.0,6.0,16.0,0.0,12,1,0,0,0,0,5.714722414694536,3.258096538021482,11.058772120302688
profenofos,II,Moderately hazardous,358.0,2,profenofos,II,0.0,0.0,1.0,0.0,0.0,1.0,38779.0,373.63,4.7,60.8,295.0,0.0,4.0,7.0,18.0,0.0,10,1,0,0,0,0,5.925938872227775,5.883322388488279,5.883322388488279
phorate,IA,Extremely hazardous,1.0,0,phorate,IA,0.0,0.0,0.0,0.0,0.0,0.0,4790.0,260.4,3.6,101.0,156.0,0.0,5.0,8.0,13.0,0.0,7,1,0,0,0,0,5.566051801190121,0.6931471805599453,11.058772120302688
disulfoton,IA,Extremely hazardous,2.0,0,disulfoton,IA,0.0,0.0,0.0,0.0,0.0,0.0,3118.0,274.4,4.0,101.0,168.0,0.0,5.0,9.0,14.0,0.0,10,1,0,0,0,0,5.618224586294555,1.0986122886681098,11.058772120302688
cypermethrin,II,Moderately hazardous,250.0,2,cypermethrin,II,0.0,1.0,1.0,0.0,0.0,2.0,2912.0,416.3,6.0,59.3,643.0,0.0,4.0,7.0,28.0,0.0,12,1,0,0,0,0,6.033805387597507,5.5254529391317835,11.050905878263567
deltamethrin,II,Moderately hazardous,135.0,2,deltamethrin,II,0.0,0.0,1.0,0.0,0.0,1.0,40585.0,505.2,6.2,59.3,643.0,0.0,4.0,7.0,28.0,0.0,12,1,0,0,0,0,6.226931848111024,4.912654885736052,4.912654885736052
permethrin,II,Moderately hazardous,430.0,2,permethrin,II,0.0,0.0,0.0,0.0,0.0,0.0,40326.0,391.3,6.5,35.5,521.0,0.0,3.0,7.0,26.0,0.0,10,1,0,0,0,0,5.972026853215507,6.066108090103747,11.058772120302688
lambda-cyhalothrin,II,Moderately hazardous,56.0,2,lambda-cyhalothrin,II,0.0,0.0,0.0,0.0,0.0,0.0,39552.5,449.8,6.1,59.3,313.0,0.0,7.0,7.0,31.0,0.0,18,1,0,1,0,1,6.1110237821656215,4.04305126783455,11.058772120302688
bifenthrin,II,Moderately hazardous,54.0,2,bifenthrin,II,0.0,0.0,0.0,0.0,0.0,0.0,6442842.0,422.9,6.0,26.3,622.0,0.0,5.0,6.0,29.0,0.0,10,1,0,0,0,0,6.049497578358592,4.007333185232471,11.058772120302688
cyfluthrin,II,Moderately hazardous,869.0,2,cyfluthrin,II,0.0,0.0,0.0,0.0,0.0,0.0,39552.5,434.3,6.2,59.3,313.0,0.0,5.0,7.0,29.0,0.0,10,1,0,0,0,0,6.076035448558252,6.76849321164863,11.058772120302688
