cid,molecularformula,molecularweight,smiles,inchikey,iupacname,xlogp,tpsa,complexity,hbonddonorcount,hbondacceptorcount,rotatablebondcount,heavyatomcount,query_name,charge,xlogp_source
3496.0,C3H8NO5P,169.07,C(C(=O)O)NCP(=O)(O)O,XDDAORKBJWWYJS-UHFFFAOYSA-N,2-(phosphonomethylamino)acetic acid,-4.6,107.0,162.0,4.0,6.0,4.0,10.0,glyphosate,,pubchem
2730.0,C9H11Cl3NO3PS,350.6,CCOP(=S)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl,SBPBAQFWLVIOKP-UHFFFAOYSA-N,"diethoxy-sulfanylidene-[(3,5,6-trichloro-2-pyridinyl)oxy]-lambda5-phosphane",5.3,72.7,303.0,0.0,5.0,6.0,18.0,chlorpyrifos,,pubchem
4004.0,C10H19O6PS2,330.4,CCOC(=O)CC(C(=O)OCC)SP(=S)(OC)OC,JXSJBGJIGXNWCI-UHFFFAOYSA-N,diethyl 2-dimethoxyphosphinothioylsulfanylbutanedioate,2.4,128.0,341.0,0.0,8.0,11.0,19.0,malathion,,pubchem
991.0,C10H14NO5PS,291.26,CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-],LCCNCVORNKJIRZ-UHFFFAOYSA-N,diethoxy-(4-nitrophenoxy)-sulfanylidene-lambda5-phosphane,3.8,106.0,304.0,0.0,6.0,6.0,18.0,parathion,,pubchem
3082.0,C5H12NO3PS2,229.3,CNC(=O)CSP(=S)(OC)OC,MCWXGJITAZMZEV-UHFFFAOYSA-N,2-dimethoxyphosphinothioylsulfanyl-N-methylacetamide,0.8,105.0,191.0,1.0,5.0,5.0,12.0,dimethoate,,pubchem
3017.0,C12H21N2O3PS,304.35,CCOP(=S)(OCC)OC1=NC(=NC(=C1)C)C(C)C,FHIVAFMUCKRCQO-UHFFFAOYSA-N,diethoxy-(6-methyl-2-propan-2-ylpyrimidin-4-yl)oxy-sulfanylidene-lambda5-phosphane,3.8,85.6,307.0,0.0,6.0,7.0,19.0,diazinon,,pubchem
1982.0,C4H10NO3PS,183.17,CC(=O)NP(=O)(OC)SC,YASYVMFAVPKPKE-UHFFFAOYSA-N,N-[methoxy(methylsulfanyl)phosphoryl]acetamide,-0.8,80.7,172.0,1.0,4.0,3.0,10.0,acephate,,pubchem
5853.0,C4H8Cl3O4P,257.43,COP(=O)(C(C(Cl)(Cl)Cl)O)OC,NFACJZMKEDPNKN-UHFFFAOYSA-N,"2,2,2-trichloro-1-dimethoxyphosphorylethanol",0.5,55.8,183.0,1.0,4.0,3.0,12.0,trichlorfon,,pubchem
13709.0,C6H11N2O4PS3,302.3,COC1=NN(C(=O)S1)CSP(=S)(OC)OC,MEBQXILRKZHVCX-UHFFFAOYSA-N,"3-(dimethoxyphosphinothioylsulfanylmethyl)-5-methoxy-1,3,4-thiadiazol-2-one",2.4,143.0,343.0,0.0,8.0,6.0,16.0,methidathion,,pubchem
38779.0,C11H15BrClO3PS,373.63,CCCSP(=O)(OCC)OC1=C(C=C(C=C1)Br)Cl,QYMMJNLHFKGANY-UHFFFAOYSA-N,4-bromo-2-chloro-1-[ethoxy(propylsulfanyl)phosphoryl]oxybenzene,4.7,60.8,295.0,0.0,4.0,7.0,18.0,profenofos,,pubchem
4790.0,C7H17O2PS3,260.4,CCOP(=S)(OCC)SCSCC,BULVZWIRKLYCBC-UHFFFAOYSA-N,diethoxy-(ethylsulfanylmethylsulfanyl)-sulfanylidene-lambda5-phosphane,3.6,101.0,156.0,0.0,5.0,8.0,13.0,phorate,,pubchem
3118.0,C8H19O2PS3,274.4,CCOP(=S)(OCC)SCCSCC,DOFZAZXDOSGAJZ-UHFFFAOYSA-N,diethoxy-(2-ethylsulfanylethylsulfanyl)-sulfanylidene-lambda5-phosphane,4.0,101.0,168.0,0.0,5.0,9.0,14.0,disulfoton,,pubchem
